id,answer
generation-for-nlp-0,1
generation-for-nlp-1,4
generation-for-nlp-2,4
generation-for-nlp-3,2
generation-for-nlp-4,4
generation-for-nlp-5,4
generation-for-nlp-6,1
generation-for-nlp-7,2
generation-for-nlp-8,3
generation-for-nlp-9,2
generation-for-nlp-10,4
generation-for-nlp-11,4
generation-for-nlp-12,2
generation-for-nlp-13,2
generation-for-nlp-14,1
generation-for-nlp-15,2
generation-for-nlp-16,1
generation-for-nlp-17,4
generation-for-nlp-18,3
generation-for-nlp-19,4
generation-for-nlp-20,3
generation-for-nlp-21,2
generation-for-nlp-22,4
generation-for-nlp-23,1
generation-for-nlp-24,3
generation-for-nlp-25,1
generation-for-nlp-26,1
generation-for-nlp-27,1
generation-for-nlp-28,4
generation-for-nlp-29,3
generation-for-nlp-30,1
generation-for-nlp-31,1
generation-for-nlp-32,3
generation-for-nlp-33,4
generation-for-nlp-34,1
generation-for-nlp-35,2
generation-for-nlp-36,1
generation-for-nlp-37,4
generation-for-nlp-38,2
generation-for-nlp-39,2
generation-for-nlp-40,4
generation-for-nlp-41,2
generation-for-nlp-42,1
generation-for-nlp-43,2
generation-for-nlp-44,2
generation-for-nlp-45,1
generation-for-nlp-46,2
generation-for-nlp-47,3
generation-for-nlp-48,2
generation-for-nlp-49,3
generation-for-nlp-50,1
generation-for-nlp-51,4
generation-for-nlp-52,4
generation-for-nlp-53,4
generation-for-nlp-54,1
generation-for-nlp-55,3
generation-for-nlp-56,4
generation-for-nlp-57,1
generation-for-nlp-58,3
generation-for-nlp-59,3
generation-for-nlp-60,2
generation-for-nlp-61,2
generation-for-nlp-62,1
generation-for-nlp-63,1
generation-for-nlp-64,1
generation-for-nlp-65,1
generation-for-nlp-66,1
generation-for-nlp-67,2
generation-for-nlp-68,3
generation-for-nlp-69,1
generation-for-nlp-70,2
generation-for-nlp-71,1
generation-for-nlp-72,3
generation-for-nlp-73,1
generation-for-nlp-74,2
generation-for-nlp-75,1
generation-for-nlp-76,1
generation-for-nlp-77,2
generation-for-nlp-78,3
generation-for-nlp-79,4
generation-for-nlp-80,1
generation-for-nlp-81,2
generation-for-nlp-82,1
generation-for-nlp-83,3
generation-for-nlp-84,1
generation-for-nlp-85,2
generation-for-nlp-86,4
generation-for-nlp-87,3
generation-for-nlp-88,1
generation-for-nlp-89,3
generation-for-nlp-90,1
generation-for-nlp-91,3
generation-for-nlp-92,3
generation-for-nlp-93,5
generation-for-nlp-94,1
