id,answer
generation-for-nlp-0,5
generation-for-nlp-1,3
generation-for-nlp-2,4
generation-for-nlp-3,5
generation-for-nlp-4,3
generation-for-nlp-5,2
generation-for-nlp-6,5
generation-for-nlp-7,5
generation-for-nlp-8,4
generation-for-nlp-9,3
generation-for-nlp-10,3
generation-for-nlp-11,1
generation-for-nlp-12,4
generation-for-nlp-13,3
generation-for-nlp-14,4
generation-for-nlp-15,5
generation-for-nlp-16,1
generation-for-nlp-17,3
generation-for-nlp-18,3
generation-for-nlp-19,3
generation-for-nlp-20,4
generation-for-nlp-21,2
generation-for-nlp-22,5
generation-for-nlp-23,3
generation-for-nlp-24,3
generation-for-nlp-25,1
generation-for-nlp-26,4
generation-for-nlp-27,1
generation-for-nlp-28,5
generation-for-nlp-29,3
generation-for-nlp-30,3
generation-for-nlp-31,2
generation-for-nlp-32,4
generation-for-nlp-33,5
generation-for-nlp-34,4
generation-for-nlp-35,2
generation-for-nlp-36,1
generation-for-nlp-37,2
generation-for-nlp-38,5
generation-for-nlp-39,3
generation-for-nlp-40,4
generation-for-nlp-41,3
generation-for-nlp-42,3
generation-for-nlp-43,1
generation-for-nlp-44,2
generation-for-nlp-45,3
generation-for-nlp-46,2
generation-for-nlp-47,4
generation-for-nlp-48,2
generation-for-nlp-49,1
generation-for-nlp-50,5
generation-for-nlp-51,3
generation-for-nlp-52,5
generation-for-nlp-53,4
generation-for-nlp-54,3
generation-for-nlp-55,5
generation-for-nlp-56,1
generation-for-nlp-57,5
generation-for-nlp-58,3
generation-for-nlp-59,3
generation-for-nlp-60,5
generation-for-nlp-61,5
generation-for-nlp-62,1
generation-for-nlp-63,1
generation-for-nlp-64,4
generation-for-nlp-65,4
generation-for-nlp-66,5
generation-for-nlp-67,5
generation-for-nlp-68,3
generation-for-nlp-69,3
generation-for-nlp-70,4
generation-for-nlp-71,5
generation-for-nlp-72,2
generation-for-nlp-73,5
generation-for-nlp-74,2
generation-for-nlp-75,4
generation-for-nlp-76,5
generation-for-nlp-77,5
generation-for-nlp-78,3
generation-for-nlp-79,5
generation-for-nlp-80,3
generation-for-nlp-81,5
generation-for-nlp-82,4
generation-for-nlp-83,5
generation-for-nlp-84,5
generation-for-nlp-85,4
generation-for-nlp-86,4
generation-for-nlp-87,3
generation-for-nlp-88,1
generation-for-nlp-89,4
generation-for-nlp-90,3
generation-for-nlp-91,3
generation-for-nlp-92,3
generation-for-nlp-93,5
generation-for-nlp-94,4
generation-for-nlp-95,1
generation-for-nlp-96,1
generation-for-nlp-97,4
generation-for-nlp-98,4
generation-for-nlp-99,4
generation-for-nlp-100,4
generation-for-nlp-101,4
generation-for-nlp-102,3
generation-for-nlp-103,1
generation-for-nlp-104,4
generation-for-nlp-105,2
generation-for-nlp-106,3
generation-for-nlp-107,1
generation-for-nlp-108,4
generation-for-nlp-109,1
generation-for-nlp-110,2
generation-for-nlp-111,4
generation-for-nlp-112,3
generation-for-nlp-113,5
generation-for-nlp-114,3
generation-for-nlp-115,5
generation-for-nlp-116,4
generation-for-nlp-117,3
generation-for-nlp-118,4
generation-for-nlp-119,5
generation-for-nlp-120,3
generation-for-nlp-121,5
generation-for-nlp-122,4
generation-for-nlp-123,3
generation-for-nlp-124,3
generation-for-nlp-125,3
generation-for-nlp-126,3
generation-for-nlp-127,1
generation-for-nlp-128,2
generation-for-nlp-129,5
generation-for-nlp-130,5
generation-for-nlp-131,3
generation-for-nlp-132,3
generation-for-nlp-133,3
generation-for-nlp-134,4
generation-for-nlp-135,1
generation-for-nlp-136,4
generation-for-nlp-137,1
generation-for-nlp-138,5
generation-for-nlp-139,3
generation-for-nlp-140,4
generation-for-nlp-141,3
generation-for-nlp-142,4
generation-for-nlp-143,2
generation-for-nlp-144,5
generation-for-nlp-145,2
generation-for-nlp-146,4
generation-for-nlp-147,2
generation-for-nlp-148,5
generation-for-nlp-149,1
generation-for-nlp-150,5
generation-for-nlp-151,1
generation-for-nlp-152,1
generation-for-nlp-153,5
generation-for-nlp-154,5
generation-for-nlp-155,5
generation-for-nlp-156,3
generation-for-nlp-157,2
generation-for-nlp-158,5
generation-for-nlp-159,5
generation-for-nlp-160,4
generation-for-nlp-161,2
generation-for-nlp-162,5
generation-for-nlp-163,2
generation-for-nlp-164,4
generation-for-nlp-165,4
generation-for-nlp-166,5
generation-for-nlp-167,4
generation-for-nlp-168,5
generation-for-nlp-169,3
generation-for-nlp-170,4
generation-for-nlp-171,2
generation-for-nlp-172,4
generation-for-nlp-173,4
generation-for-nlp-174,3
generation-for-nlp-175,1
generation-for-nlp-176,4
generation-for-nlp-177,1
generation-for-nlp-178,3
generation-for-nlp-179,3
generation-for-nlp-180,4
generation-for-nlp-181,2
generation-for-nlp-182,5
generation-for-nlp-183,4
generation-for-nlp-184,3
generation-for-nlp-185,3
generation-for-nlp-186,3
generation-for-nlp-187,3
generation-for-nlp-188,4
generation-for-nlp-189,5
generation-for-nlp-190,4
generation-for-nlp-191,3
generation-for-nlp-192,2
generation-for-nlp-193,5
generation-for-nlp-194,1
generation-for-nlp-195,4
generation-for-nlp-196,2
generation-for-nlp-197,5
generation-for-nlp-198,1
generation-for-nlp-199,3
generation-for-nlp-200,5
generation-for-nlp-201,4
generation-for-nlp-202,4
generation-for-nlp-203,4
generation-for-nlp-204,3
generation-for-nlp-205,5
generation-for-nlp-206,3
generation-for-nlp-207,3
generation-for-nlp-208,2
generation-for-nlp-209,5
generation-for-nlp-210,1
generation-for-nlp-211,4
generation-for-nlp-212,5
generation-for-nlp-213,5
generation-for-nlp-214,5
generation-for-nlp-215,2
generation-for-nlp-216,4
generation-for-nlp-217,4
generation-for-nlp-218,3
generation-for-nlp-219,3
generation-for-nlp-220,3
generation-for-nlp-221,2
generation-for-nlp-222,5
generation-for-nlp-223,1
generation-for-nlp-224,3
generation-for-nlp-225,3
generation-for-nlp-226,4
generation-for-nlp-227,1
generation-for-nlp-228,4
generation-for-nlp-229,2
generation-for-nlp-230,2
generation-for-nlp-231,4
generation-for-nlp-232,1
generation-for-nlp-233,2
generation-for-nlp-234,4
generation-for-nlp-235,4
generation-for-nlp-236,3
generation-for-nlp-237,3
generation-for-nlp-238,4
generation-for-nlp-239,3
generation-for-nlp-240,3
generation-for-nlp-241,3
generation-for-nlp-242,4
generation-for-nlp-243,2
generation-for-nlp-244,3
generation-for-nlp-245,4
generation-for-nlp-246,2
generation-for-nlp-247,2
generation-for-nlp-248,4
generation-for-nlp-249,3
generation-for-nlp-250,5
generation-for-nlp-251,3
generation-for-nlp-252,2
generation-for-nlp-253,1
generation-for-nlp-254,3
generation-for-nlp-255,4
generation-for-nlp-256,1
generation-for-nlp-257,4
generation-for-nlp-258,5
generation-for-nlp-259,3
generation-for-nlp-260,3
generation-for-nlp-261,2
generation-for-nlp-262,4
generation-for-nlp-263,5
generation-for-nlp-264,1
generation-for-nlp-265,4
generation-for-nlp-266,3
generation-for-nlp-267,4
generation-for-nlp-268,3
generation-for-nlp-269,5
generation-for-nlp-270,5
generation-for-nlp-271,2
generation-for-nlp-272,4
generation-for-nlp-273,3
generation-for-nlp-274,5
generation-for-nlp-275,1
generation-for-nlp-276,3
generation-for-nlp-277,5
generation-for-nlp-278,2
generation-for-nlp-279,2
generation-for-nlp-280,4
generation-for-nlp-281,4
generation-for-nlp-282,5
generation-for-nlp-283,1
generation-for-nlp-284,5
generation-for-nlp-285,2
generation-for-nlp-286,1
generation-for-nlp-287,5
generation-for-nlp-288,4
generation-for-nlp-289,4
generation-for-nlp-290,2
generation-for-nlp-291,5
generation-for-nlp-292,2
generation-for-nlp-293,1
generation-for-nlp-294,1
generation-for-nlp-295,4
generation-for-nlp-296,2
generation-for-nlp-297,2
generation-for-nlp-298,2
generation-for-nlp-299,4
generation-for-nlp-300,5
generation-for-nlp-301,4
generation-for-nlp-302,5
generation-for-nlp-303,4
generation-for-nlp-304,5
generation-for-nlp-305,1
